id,name,price,stock,link,category
1119,"Standoff - Nylon (4-40; 3/8""; 10 pack)",$3.75,In stock,https://www.sparkfun.com/standoff-nylon-4-40-3-8-10-pack.html,Robotics
1120,"Hobby Gearmotor -  65 RPM (Right Angle, Pair)",$7.50,Backorder,https://www.sparkfun.com/hobby-gearmotor-65-rpm-right-angle-pair.html,Robotics
1121,Three Phase Brushless Gimbal Stabilizer Motor,$45.95,In stock,https://www.sparkfun.com/three-phase-brushless-gimbal-stabilizer-motor.html,Robotics
1122,"Screw - Phillips Head (3/8"", 2-56)",$0.15,In stock,https://www.sparkfun.com/screw-phillips-head-3-8-2-56.html,Robotics
1123,Servo - Generic High Torque (Standard Size),$18.95,In stock,https://www.sparkfun.com/servo-generic-high-torque-standard-size.html,Robotics
1124,Slip Ring - 12 Wire (2A),$27.95,Backorder,https://www.sparkfun.com/slip-ring-12-wire-2a.html,Robotics
1125,Dolly Wheel Plate - Drive B (pair),$5.99,In stock,https://www.sparkfun.com/dolly-wheel-plate-drive-b-pair.html,Robotics
1126,SparkFun Servo Trigger - Continuous Rotation,$17.50,In stock,https://www.sparkfun.com/sparkfun-servo-trigger-continuous-rotation.html,Robotics
1127,Pan/Tilt Bracket Kit (Multi Attachment),$6.75,Backorder,https://www.sparkfun.com/pan-tilt-bracket-kit-multi-attachment.html,Robotics
1128,Slip Ring - 6 Wire (2A),$21.50,In stock,https://www.sparkfun.com/slip-ring-6-wire-2a.html,Robotics
1129,Servo to Alligator Clip Cable - Shrouded,$2.25,In stock,https://www.sparkfun.com/servo-to-alligator-clip-cable-shrouded.html,Robotics
1130,Metal Gearmotor with Encoder - 12V (9.7:1),$119.95,In stock,https://www.sparkfun.com/metal-gearmotor-with-encoder-12v-9-7-1.html,Robotics
1131,"Tubing - Aluminum (5/8""OD x 10""L x 0.569""ID)",$4.39,In stock,https://www.sparkfun.com/tubing-aluminum-5-8-od-x-10-l-x-0-569-id.html,Robotics
1132,SparkFun Brushless Motor Driver - 3-Phase (TMC6300),$17.95,In stock,https://www.sparkfun.com/sparkfun-brushless-motor-driver-3-phase-tmc6300.html,Robotics
1133,"SparkFun IoT Brushless Motor Driver (ESP32 WROOM, TMC6300)",$99.95,In stock,https://www.sparkfun.com/sparkfun-iot-brushless-motor-driver-esp32-wroom-tmc6300.html,Robotics
1134,"Screw - Phillips Head (1/2"", 4-40, 10 pack)",$1.60,In stock,https://www.sparkfun.com/screw-phillips-head-1-2-4-40-10-pack.html,Robotics
1135,Servo - Generic Continuous Rotation (Micro Size),$17.50,In stock,https://www.sparkfun.com/servo-generic-continuous-rotation-micro-size.html,Robotics
1136,"Hex Standoff - Aluminum Threaded (4-40; 3/4"")",$0.75,In stock,https://www.sparkfun.com/hex-standoff-aluminum-threaded-4-40-3-4.html,Robotics
1137,Experiential Robotics Platform (XRP) - Build-Your-Own Robotics Kits (Parts for 30 DIY Kits),"$2,849.95",Backorder,https://www.sparkfun.com/experiential-robotics-platform-xrp-build-your-own-robotics-kits-parts-for-30-diy-kits.html,Robotics
1138,"Gimbal Servo Motor - 12V, 467RPM",$129.95,In stock,https://www.sparkfun.com/gimbal-servo-motor-12v-467rpm.html,Robotics
1139,Universal Mounting Hub - 5mm Aluminum,$8.50,Discontinued,https://www.sparkfun.com/universal-mounting-hub-5mm-aluminum.html,Robotics
1140,"Standoffs Plastic - (4-40; 3/4""; 10 pack)",$4.50,In stock,https://www.sparkfun.com/standoffs-plastic-4-40-3-4-10-pack.html,Robotics
1141,Slip Ring - 3 Wire (10A),$42.95,Backorder,https://www.sparkfun.com/slip-ring-3-wire-10a.html,Robotics
1142,Solenoid - 36v,$27.95,In stock,https://www.sparkfun.com/solenoid-36v.html,Robotics
1143,"Stepper Motor - 125 oz.in (200 steps/rev, 600mm Wire)",$47.95,In stock,https://www.sparkfun.com/stepper-motor-125-oz-in-200-steps-rev-600mm-wire.html,Robotics
1144,Dolly Wheel Plate - Idler A (pair),$5.99,In stock,https://www.sparkfun.com/dolly-wheel-plate-idler-a-pair.html,Robotics
1145,Silicone Bumpers - 5x11mm (4 Pack),$1.05,In stock,https://www.sparkfun.com/silicone-bumpers-5x11mm-4-pack.html,Robotics
1146,Center Hole Adapters - 4 pack,$1.99,In stock,https://www.sparkfun.com/center-hole-adapters-4-pack.html,Robotics
1147,"Gimbal Motor with Encoder - 12V, 467RPM",$49.95,Backorder,https://www.sparkfun.com/gimbal-motor-with-encoder-12v-587rpm.html,Robotics
1148,Kitronik Simply Servos Board for Raspberry Pi Pico,$11.55,Discontinued,https://www.sparkfun.com/kitronik-simply-servos-board-for-raspberry-pi-pico.html,Robotics
1149,SparkFun RedBot Buzzer,$1.95,In stock,https://www.sparkfun.com/sparkfun-redbot-buzzer.html,Robotics
1150,SparkFun Qwiic Motor Driver Kit,$24.95,Discontinued,https://www.sparkfun.com/sparkfun-qwiic-motor-driver-kit.html,Robotics
1151,#4-40 Hex Nut,$0.10,In stock,https://www.sparkfun.com/4-40-hex-nut.html,Robotics
1152,SparkFun Servo Trigger,$21.95,In stock,https://www.sparkfun.com/sparkfun-servo-trigger.html,Robotics
1153,"Stepper Motor - 68 oz.in (400 steps/rev, 300mm Wire)",$29.50,In stock,https://www.sparkfun.com/stepper-motor-68-oz-in-400-steps-rev-300mm-wire.html,Robotics
1154,Hex Standoff - Aluminum Threaded (M2.5; 16mm; 4.5mm AF),$0.75,In stock,https://www.sparkfun.com/hex-standoff-aluminum-threaded-m2-5-16mm-4-5mm-af.html,Robotics
1155,WA-SMSI SMT Steel Spacer with internal Thread M2.5,$0.25,In stock,https://www.sparkfun.com/wa-smsi-smt-steel-spacer-with-internal-thread-m2-5.html,Robotics
1156,EasyDriver - Stepper Motor Driver,$18.50,In stock,https://www.sparkfun.com/easydriver-stepper-motor-driver.html,Robotics
1157,"Tube - Aluminum (3/8""OD x 10""L x 0.30""ID)",$3.39,In stock,https://www.sparkfun.com/tube-aluminum-3-8-od-x-10-l-x-0-30-id.html,Robotics
1158,"Nut - Metal (4-40, 10 pack)",$1.60,In stock,https://www.sparkfun.com/nut-metal-4-40-10-pack.html,Robotics
1159,Solenoid - 12V (Latch / Lock),$15.95,In stock,https://www.sparkfun.com/solenoid-12v-latch-lock.html,Robotics
1160,"Small Stepper Motor - 100 g.cm (48 steps/rev, 100mm Wire)",$13.95,In stock,https://www.sparkfun.com/small-stepper-motor-100-g-cm-48-steps-rev-100mm-wire.html,Robotics
1161,Pan/Tilt Camera Bracket Kit (Single Attachment),$11.50,In stock,https://www.sparkfun.com/pan-tilt-bracket-kit-single-attachment.html,Robotics
1162,Experiential Robotics Platform (XRP) Kit - Set of 10,"$1,199.50",Backorder,https://www.sparkfun.com/experiential-robotics-platform-xrp-kit-set-of-10.html,Robotics
1163,SparkFun Motor Driver - Dual TB6612FNG (with Headers),$14.50,In stock,https://www.sparkfun.com/sparkfun-motor-driver-dual-tb6612fng-with-headers.html,Robotics
1164,Hobby Motor - Gear,$2.75,In stock,https://www.sparkfun.com/hobby-motor-gear.html,Robotics
1165,"Gimbal Motor w/o Encoder - 12V, 467RPM",$34.95,In stock,https://www.sparkfun.com/gimbal-motor-w-o-encoder-12v-587rpm.html,Robotics
1166,Liquid Pump - 350GPH (12v),$30.50,In stock,https://www.sparkfun.com/liquid-pump-350gph-12v.html,Robotics
1167,Servo - Hitec HS-805BB (Giant Scale),$49.95,Backorder,https://www.sparkfun.com/servo-hitec-hs-805bb-giant-scale.html,Robotics
1168,Servo - Hitec HS-85MG (Micro Size),$37.50,Backorder,https://www.sparkfun.com/servo-hitec-hs-85mg-micro-size.html,Robotics
1169,Phillips Machine Screw - 4-40 Thread - 3/8in.,$0.15,In stock,https://www.sparkfun.com/phillips-machine-screw-4-40-thread-3-8in.html,Robotics
1170,REV Robotics Smart Robot Servo,$34.95,In stock,https://www.sparkfun.com/rev-robotics-smart-robot-servo.html,Robotics
1171,Micro Gripper Kit B - Hub Mount,$5.95,In stock,https://www.sparkfun.com/micro-gripper-kit-b-hub-mount.html,Robotics
1172,Solenoid - 5V (Small),$6.50,In stock,https://www.sparkfun.com/solenoid-5v-small.html,Robotics
1173,SparkFun Haptic Motor Driver - DRV2605L,$11.95,In stock,https://www.sparkfun.com/sparkfun-haptic-motor-driver-drv2605l.html,Robotics
1174,Experiential Robotics Platform (XRP) Chassis with Plastic Parts - Beta,$4.99,In stock,https://www.sparkfun.com/experiential-robotics-platform-xrp-chassis-with-plastic-parts-beta.html,Robotics
1175,Vibration Motor,$2.95,In stock,https://www.sparkfun.com/vibration-motor.html,Robotics
1176,"12V Solenoid Valve - 3/4""",$9.25,Backorder,https://www.sparkfun.com/12v-solenoid-valve-3-4.html,Robotics
1177,Standoff - Nylon (4-40; 3/4in.),$0.50,In stock,https://www.sparkfun.com/standoff-nylon-4-40-3-4in.html,Robotics
1178,"Standoff - Nylon (4-40; 3/4""; 10 pack)",$4.75,In stock,https://www.sparkfun.com/standoff-nylon-4-40-3-4-10-pack.html,Robotics
1179,PD Stepper - NEMA 17 Stepper Driver and Controller,$64.95,In stock,https://www.sparkfun.com/pd-stepper.html,Robotics
1180,"Screw - Phillip Head (M3 x 12mm, 3 pack)",$0.95,In stock,https://www.sparkfun.com/screw-phillip-head-m3-x-12mm-3-pack.html,Robotics
1181,Liquid Pump - 500GPH (12V),$32.95,In stock,https://www.sparkfun.com/liquid-pump-500gph-12v.html,Robotics
1182,"Screw - Phillips Head (1/4"", 4-40, 10 pack)",$1.75,In stock,https://www.sparkfun.com/screw-phillips-head-1-4-4-40-10-pack.html,Robotics
1183,M3 Hex Nut,$0.05,In stock,https://www.sparkfun.com/m3-hex-nut.html,Robotics
1184,Nut - Metal (2-56),$0.15,In stock,https://www.sparkfun.com/nut-metal-2-56.html,Robotics
1185,"Tube - Stainless (1""OD x 10""L x 0.88""ID)",$10.19,Discontinued,https://www.sparkfun.com/tube-stainless-1-od-x-10-l-x-0-88-id.html,Robotics
1186,O-Ring (2-Pack),$1.25,In stock,https://www.sparkfun.com/o-ring-2-pack.html,Robotics
1187,Micro Gearmotor - 90 RPM (6-12V),$23.50,In stock,https://www.sparkfun.com/micro-gearmotor-90-rpm-6-12v.html,Robotics
1188,Micro Gearmotor - 175 RPM (6-12V),$23.50,In stock,https://www.sparkfun.com/micro-gearmotor-175-rpm-6-12v.html,Robotics
1189,"Standoffs Plastic (4-40; 3/8""; 10 pack)",$3.75,In stock,https://www.sparkfun.com/standoffs-plastic-4-40-3-8-10-pack.html,Robotics
1190,Tripod Mount for Raspberry Pi Camera Modules,$6.95,Backorder,https://www.sparkfun.com/tripod-mount-for-camera-modules.html,Robotics
1191,Hobby Motor and Encoder Kit,$21.50,Discontinued,https://www.sparkfun.com/hobby-motor-and-encoder-kit.html,Robotics
